LanguageHaveWorkedWith,Currency,Country,RemoteWork,CompTotal
Python;SQL,USD	United States dollar,United States of America,Remote,146000.0
C;HTML/CSS;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",120000.0
Bash/Shell (all shells);C#;Groovy;HTML/CSS;Java;JavaScript;Perl;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",280000.0
Bash/Shell (all shells);C#;PowerShell;Python;SQL,USD	United States dollar,United States of America,Remote,110000.0
Bash/Shell (all shells);C++;Go;Java;Python;Rust,USD	United States dollar,United States of America,In-person,150000.0
C++;Java;Python,USD	United States dollar,United States of America,In-person,485000.0
Bash/Shell (all shells);C#;Go;HTML/CSS;Python;SQL;TypeScript;VBA;Visual Basic (.Net),EUR European Euro,Germany,"Hybrid (some remote, some in-person)",56000.0
Bash/Shell (all shells);Java;PowerShell;Python;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",68000.0
Clojure;Go;Java;Lisp;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
JavaScript;Python;SQL,USD	United States dollar,India,Remote,
HTML/CSS;JavaScript;Python;SQL,USD	United States dollar,United States of America,In-person,56000.0
HTML/CSS;Python;Rust,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",126000.0
Bash/Shell (all shells);Dart;JavaScript;Lua;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,168000.0
Bash/Shell (all shells);C#;Lisp;Perl;Python,USD	United States dollar,United States of America,Remote,132000.0
Bash/Shell (all shells);C;Python;Ruby;SQL,USD	United States dollar,United States of America,Remote,235295.0
Bash/Shell (all shells);C;C++;Go;Haskell;HTML/CSS;Java;JavaScript;Lisp;Objective-C;Prolog;Python;SQL;Swift,USD	United States dollar,United States of America,,
C;C++;JavaScript;Python;SQL,USD	United States dollar,United States of America,,
C;C++;Clojure;Fortran;HTML/CSS;Julia;Lisp;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",150000.0
Bash/Shell (all shells);C#;JavaScript;PowerShell;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",137000.0
Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",150000.0
HTML/CSS;JavaScript;Python;SQL,USD	United States dollar,United States of America,Remote,90000.0
Bash/Shell (all shells);C;Go;Java;JavaScript;Perl;Python;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",800000.0
Bash/Shell (all shells);PowerShell;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",90000.0
C#;C++;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,166000.0
C++;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",125000.0
C#;C++;Lua;PowerShell;Python;SQL;Visual Basic (.Net),USD	United States dollar,United States of America,In-person,150000.0
Bash/Shell (all shells);C++;Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,228800.0
C#;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,USD	United States dollar,United States of America,Remote,120000.0
Java;JavaScript;Python;TypeScript,USD	United States dollar,United States of America,Remote,127000.0
Lua;Python;R;SQL,USD	United States dollar,United States of America,Remote,125000.0
Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;Python;Rust,USD	United States dollar,United States of America,Remote,125000.0
Bash/Shell (all shells);C;C++;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",137000.0
Julia;Python;R;SQL,USD	United States dollar,United States of America,Remote,70000.0
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,USD	United States dollar,United States of America,Remote,190000.0
Bash/Shell (all shells);Python;SQL,USD	United States dollar,United States of America,Remote,325000.0
Bash/Shell (all shells);Go;JavaScript;Lisp;PHP;Python;Ruby;Rust;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",165000.0
C;Java;JavaScript;Kotlin;Objective-C;Python;Swift;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",175000.0
Bash/Shell (all shells);C++;Python;Scala,USD	United States dollar,United States of America,Remote,120000.0
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;R;SQL;TypeScript;Visual Basic (.Net),USD	United States dollar,United States of America,In-person,120000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,USD	United States dollar,United States of America,Remote,113000.0
Bash/Shell (all shells);C#;C++;Delphi;HTML/CSS;JavaScript;PHP;Python;SQL,USD	United States dollar,United States of America,Remote,150000.0
Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript,EUR European Euro,Germany,Remote,60000.0
Bash/Shell (all shells);C++;Clojure;Go;Groovy;HTML/CSS;Java;JavaScript;Julia;Lua;PHP;Python;Rust;Scala;SQL;TypeScript,USD	United States dollar,United States of America,Remote,155000.0
Bash/Shell (all shells);C#;C++;Python,USD	United States dollar,United States of America,Remote,200000.0
HTML/CSS;JavaScript;PowerShell;Python;R;Rust;Scala;SQL,USD	United States dollar,United States of America,In-person,132000.0
HTML/CSS;JavaScript;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",66567.0
C;C++;Go;Java;JavaScript;Lisp;PHP;Python;Ruby;Swift,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",150000.0
Groovy;HTML/CSS;Java;JavaScript;Python;Solidity;SQL;TypeScript,USD	United States dollar,United States of America,Remote,100000.0
Bash/Shell (all shells);Python;SQL,EUR European Euro,Germany,Remote,46000.0
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,240000.0
Python;SQL,USD	United States dollar,United States of America,In-person,
Bash/Shell (all shells);C++;Lua;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",170000.0
Bash/Shell (all shells);C;C++;HTML/CSS;MATLAB;PowerShell;Python,USD	United States dollar,United States of America,In-person,89000.0
JavaScript;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",200000.0
Python;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",225000.0
Bash/Shell (all shells);HTML/CSS;Java;Python;TypeScript,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",66000.0
HTML/CSS;Java;JavaScript;Python;Ruby;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",127000.0
C;HTML/CSS;JavaScript;Python;TypeScript,USD	United States dollar,United States of America,Remote,110700.0
Bash/Shell (all shells);C++;HTML/CSS;JavaScript;OCaml;Python;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",140000.0
C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",110000.0
Bash/Shell (all shells);C;Elixir;Erlang;Go;HTML/CSS;Lisp;Perl;Python;SQL,USD	United States dollar,United States of America,Remote,260000.0
Assembly;Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,230000.0
Bash/Shell (all shells);C;C#;C++;Go;Java;Julia;MATLAB;Nim;PowerShell;Python;R;Rust,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",55000.0
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,EUR European Euro,Germany,Remote,100000.0
Java;Python;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",66500.0
C;C#;C++;Python;R;Rust,USD	United States dollar,United States of America,Remote,124000.0
Bash/Shell (all shells);C;HTML/CSS;Perl;PHP;Python,USD	United States dollar,United States of America,Remote,
Python,USD	United States dollar,United States of America,Remote,190000.0
Bash/Shell (all shells);Go;HTML/CSS;Java;Python;Rust;SQL;TypeScript,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",
Apex;Bash/Shell (all shells);C;Cobol;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL,USD	United States dollar,United States of America,Remote,150000.0
Java;JavaScript;Python;SQL,USD	United States dollar,United States of America,Remote,95000.0
Bash/Shell (all shells);C;C++;MATLAB;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",128000.0
Bash/Shell (all shells);C;C++;Fortran;HTML/CSS;Java;JavaScript;Perl;Python;VBA,USD	United States dollar,United States of America,Remote,121000.0
C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,USD	United States dollar,United States of America,Remote,130000.0
Bash/Shell (all shells);C++;Java;Kotlin;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",237495.0
Bash/Shell (all shells);JavaScript;Python;TypeScript,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",74000.0
Bash/Shell (all shells);C;Fortran;Haskell;Java;Kotlin;Python;Rust,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",83000.0
Ada;APL;Assembly;Bash/Shell (all shells);C;C#;C++;Cobol;Fortran;HTML/CSS;Java;JavaScript;Kotlin;Lisp;Objective-C;Perl;PHP;Python;Ruby;Rust;SQL;Swift;TypeScript;VBA;Visual Basic (.Net),USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",140000.0
Assembly;Bash/Shell (all shells);C;C#;Cobol;Delphi;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;Ruby;Scala;SQL;Swift;TypeScript;VBA;Visual Basic (.Net),EUR European Euro,Germany,Remote,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",127000.0
Java;Kotlin;Python,USD	United States dollar,United States of America,Remote,160000.0
Bash/Shell (all shells);JavaScript;PHP;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,170000.0
Bash/Shell (all shells);Python,USD	United States dollar,United States of America,Remote,315000.0
Bash/Shell (all shells);C#;HTML/CSS;Python;TypeScript,EUR European Euro,Germany,Remote,65000.0
Java;JavaScript;MATLAB;PowerShell;Python;R,EUR European Euro,Germany,Remote,52000.0
Python;Scala;SQL,USD	United States dollar,United States of America,Remote,130000.0
C;C++;PHP;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
Bash/Shell (all shells);Go;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,95000.0
Assembly;Bash/Shell (all shells);C++;Go;JavaScript;Perl;Python;TypeScript,USD	United States dollar,United States of America,Remote,79000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",60000.0
Clojure;Python,EUR European Euro,Germany,Remote,93744.0
Python,USD	United States dollar,United States of America,In-person,120000.0
Bash/Shell (all shells);C;Go;Python,USD	United States dollar,United States of America,Remote,200000.0
C;C++;Java;JavaScript;PHP;Python;Rust;SQL;TypeScript,USD	United States dollar,United States of America,Remote,200000.0
Clojure;Python;Rust;Scala;SQL,EUR European Euro,Germany,Remote,500000.0
Bash/Shell (all shells);C;Groovy;HTML/CSS;Java;JavaScript;Python;Rust;TypeScript,USD	United States dollar,United States of America,In-person,160000.0
Clojure;JavaScript;Python;TypeScript,EUR European Euro,Germany,Remote,180000.0
Bash/Shell (all shells);C++;Python;SQL;VBA,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",170000.0
Bash/Shell (all shells);JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",144000.0
Bash/Shell (all shells);Java;JavaScript;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",115000.0
Bash/Shell (all shells);Elixir;Fortran;HTML/CSS;JavaScript;Julia;Lua;Python;Ruby;Rust,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",70000.0
Bash/Shell (all shells);C#;Python;Swift,USD	United States dollar,United States of America,In-person,65000.0
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,185000.0
Python,USD	United States dollar,United States of America,In-person,108000.0
JavaScript;Objective-C;Python;SQL;Swift,USD	United States dollar,United States of America,Remote,70000.0
Bash/Shell (all shells);Java;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,182500.0
HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",112000.0
Assembly;Bash/Shell (all shells);C#;C++;Go;PowerShell;Python;R;Rust;SQL,USD	United States dollar,United States of America,Remote,160000.0
C;HTML/CSS;JavaScript;Python;Rust,USD	United States dollar,United States of America,Remote,192000.0
C#;Python,USD	United States dollar,United States of America,Remote,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,88000.0
Bash/Shell (all shells);C;Lua;Perl;PowerShell;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",95000.0
HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,140000.0
Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript;Zig,USD	United States dollar,United States of America,Remote,150000.0
C#;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",113000.0
Bash/Shell (all shells);Groovy;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",80000.0
C#;C++;Cobol;HTML/CSS;Java;JavaScript;Objective-C;PHP;PowerShell;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",250000.0
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",250000.0
Bash/Shell (all shells);PowerShell;Python,USD	United States dollar,United States of America,Remote,87000.0
Python,USD	United States dollar,United States of America,Remote,170000.0
Assembly;Bash/Shell (all shells);C;Go;HTML/CSS;Java;JavaScript;Nim;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,400000.0
Bash/Shell (all shells);C;C++;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",210000.0
C;JavaScript;Python;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
Bash/Shell (all shells);Groovy;Java;JavaScript;Python;Scala;SQL,USD	United States dollar,United States of America,Remote,300000.0
C#;C++;HTML/CSS;JavaScript;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",150000.0
HTML/CSS;Java;MATLAB;Python;Swift,USD	United States dollar,United States of America,In-person,
C;C#;C++;PowerShell;Python;Rust,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",110000.0
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,USD	United States dollar,United States of America,Remote,205000.0
Bash/Shell (all shells);Groovy;Java;JavaScript;Perl;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,100000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;Python,USD	United States dollar,United States of America,Remote,83000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,USD	United States dollar,United States of America,Remote,165000.0
Bash/Shell (all shells);C;HTML/CSS;JavaScript;Python;SQL;TypeScript,EUR European Euro,Germany,In-person,53246.0
C#;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",120000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,USD	United States dollar,United States of America,Remote,160000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby;SQL,USD	United States dollar,United States of America,Remote,168400.0
C++;Python,USD	United States dollar,United States of America,Remote,
Ada;Assembly;C;C++;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",140000.0
Bash/Shell (all shells);JavaScript;PHP;Python,USD	United States dollar,United States of America,Remote,92500.0
Bash/Shell (all shells);C;C++;Clojure;Go;Haskell;HTML/CSS;JavaScript;Lua;Perl;Python;Rust;SQL;TypeScript,USD	United States dollar,United States of America,Remote,195000.0
Haskell;Julia;Python;SQL,EUR European Euro,Germany,Remote,
Java;JavaScript;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",105000.0
C++;Java;Python;Rust,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",200000.0
Bash/Shell (all shells);C#;Go;Java;JavaScript;Python;SQL,USD	United States dollar,United States of America,Remote,165000.0
Assembly;Bash/Shell (all shells);C;C++;Go;JavaScript;Python;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",110000.0
Bash/Shell (all shells);Go;Groovy;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",400000.0
C#;HTML/CSS;JavaScript;Python;SQL,USD	United States dollar,United States of America,Remote,70000.0
Bash/Shell (all shells);C;C++;Clojure;Go;Groovy;Java;JavaScript;Lua;Python;Rust;SQL;TypeScript,USD	United States dollar,United States of America,Remote,241000.0
Python;R,USD	United States dollar,United States of America,Remote,100000.0
Java;JavaScript;Kotlin;PHP;Python;SQL,USD	United States dollar,United States of America,In-person,86000.0
HTML/CSS;Java;JavaScript;Python;Rust,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",100000.0
Clojure;Groovy;Java;JavaScript;Kotlin;Python;Rust;Scala,USD	United States dollar,United States of America,Remote,318250.0
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript,USD	United States dollar,United States of America,Remote,250000.0
Bash/Shell (all shells);C;C++;Go;Groovy;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;Ruby;SQL,USD	United States dollar,United States of America,Remote,312000.0
Bash/Shell (all shells);C#;C++;Flow;HTML/CSS;JavaScript;Kotlin;Lua;Python;Rust;SQL;Swift;TypeScript,USD	United States dollar,United States of America,Remote,140000.0
C#;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,117000.0
Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Perl;PHP;Python;SQL,USD	United States dollar,United States of America,Remote,
Python;R;SQL;VBA,USD	United States dollar,United States of America,Remote,85000.0
Bash/Shell (all shells);C;C++;Python;Rust,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
Bash/Shell (all shells);Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",118000.0
JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,175000.0
Python;Rust;SQL,USD	United States dollar,United States of America,Remote,80000.0
Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",537000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",425000.0
Bash/Shell (all shells);C;C++;Fortran;MATLAB;Objective-C;Python;SQL,USD	United States dollar,United States of America,In-person,130000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Swift,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",170000.0
C#;HTML/CSS;JavaScript;Python,USD	United States dollar,United States of America,Remote,175000.0
C#;PowerShell;Python;SQL,USD	United States dollar,United States of America,Remote,210000.0
Bash/Shell (all shells);Python,USD	United States dollar,United States of America,In-person,350000.0
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Perl;PHP;Python;SQL,USD	United States dollar,United States of America,Remote,138020.0
Bash/Shell (all shells);C++;Groovy;HTML/CSS;Java;JavaScript;Python;Rust;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;Swift;TypeScript,USD	United States dollar,United States of America,Remote,85000.0
Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;Kotlin;Python;Rust;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",350000.0
Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Python;SQL,USD	United States dollar,United States of America,Remote,180000.0
C#;C++;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",220000.0
Bash/Shell (all shells);Go;JavaScript;Lua;PowerShell;Python;Ruby;SQL,USD	United States dollar,United States of America,Remote,105000.0
Bash/Shell (all shells);C;F#;OCaml;Python;Ruby;SQL;VBA,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
Java;JavaScript;Python;Swift,USD	United States dollar,United States of America,Remote,200000.0
Python;R,USD	United States dollar,United States of America,Remote,206000.0
Python;SQL,USD	United States dollar,United States of America,Remote,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,USD	United States dollar,Canada,"Hybrid (some remote, some in-person)",45000.0
Bash/Shell (all shells);C#;F#;Python;R;SQL,USD	United States dollar,United States of America,In-person,390000.0
Bash/Shell (all shells);Clojure;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",130000.0
C#;Python,EUR European Euro,Germany,Remote,84000.0
Bash/Shell (all shells);Groovy;HTML/CSS;PowerShell;Python;SQL,USD	United States dollar,United States of America,Remote,110000.0
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;Ruby;SQL;TypeScript;Visual Basic (.Net),USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",137000.0
Dart;HTML/CSS;Python,USD	United States dollar,United States of America,In-person,
Bash/Shell (all shells);C;C++;Go;Python;Rust;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",160000.0
Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",185000.0
Elixir;Erlang;JavaScript;Python;R;TypeScript,USD	United States dollar,United States of America,Remote,280000.0
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,155000.0
Bash/Shell (all shells);C;C++;HTML/CSS;Python;Rust,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",85000.0
Bash/Shell (all shells);Python;SQL,USD	United States dollar,United States of America,In-person,260000.0
C#;C++;JavaScript;Python;TypeScript,USD	United States dollar,United States of America,Remote,140000.0
HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",
C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,174900.0
Go;Python,USD	United States dollar,United States of America,Remote,153000.0
Bash/Shell (all shells);C++;Go;HTML/CSS;Python;Rust;SQL,USD	United States dollar,United States of America,Remote,270000.0
C#;Groovy;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),USD	United States dollar,United States of America,Remote,150000.0
Bash/Shell (all shells);JavaScript;Python;Ruby;SQL,USD	United States dollar,United States of America,Remote,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL,USD	United States dollar,United States of America,Remote,200000.0
Bash/Shell (all shells);Dart;Go;HTML/CSS;JavaScript;PHP;Python;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",200000.0
C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;Visual Basic (.Net),USD	United States dollar,United States of America,Remote,95000.0
HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,
Python,USD	United States dollar,United States of America,In-person,65075.0
Bash/Shell (all shells);GDScript;JavaScript;Python;TypeScript,USD	United States dollar,United States of America,Remote,150000.0
C;C++;Groovy;JavaScript;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",140000.0
Python,EUR European Euro,Germany,Remote,45000.0
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;R;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",224000.0
Python,USD	United States dollar,United States of America,Remote,500000.0
C#;Dart;HTML/CSS;JavaScript;PowerShell;Python;SQL;Swift;Visual Basic (.Net),USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",115000.0
JavaScript;PHP;Python;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",110000.0
C#;Go;HTML/CSS;JavaScript;Python,USD	United States dollar,United States of America,Remote,
C#;Clojure;HTML/CSS;OCaml;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,150000.0
Bash/Shell (all shells);Java;JavaScript;Kotlin;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",210000.0
Crystal;HTML/CSS;JavaScript;PowerShell;Python;SQL,USD	United States dollar,United States of America,Remote,85000.0
Assembly;Bash/Shell (all shells);C;C++;Go;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",118750.0
Dart;HTML/CSS;JavaScript;Python;SQL,USD	United States dollar,United States of America,Remote,
Bash/Shell (all shells);C#;Groovy;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",172000.0
Apex;Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,200000.0
Assembly;Bash/Shell (all shells);C;C++;JavaScript;Kotlin;Python;Rust,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",160000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",69500.0
Bash/Shell (all shells);Clojure;HTML/CSS;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,40000.0
HTML/CSS;Java;JavaScript;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",365000.0
Bash/Shell (all shells);Elixir;Erlang;Groovy;HTML/CSS;Java;JavaScript;Python;Ruby;Rust;Scala;SQL;TypeScript,USD	United States dollar,United States of America,Remote,240000.0
Bash/Shell (all shells);Go;Java;Lua;Python;Scala,USD	United States dollar,United States of America,Remote,
C#;Java;PowerShell;Python;SQL,USD	United States dollar,United States of America,In-person,130000.0
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,
Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;Rust;TypeScript,USD	United States dollar,United States of America,In-person,120000.0
HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",99500.0
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;Python;SQL;Swift,USD	United States dollar,United States of America,Remote,140000.0
Bash/Shell (all shells);C++;Lisp;Python,USD	United States dollar,United States of America,Remote,
Bash/Shell (all shells);C++;Java;JavaScript;MATLAB;PHP;Python;R;SAS;SQL;TypeScript,USD	United States dollar,United States of America,In-person,85000.0
C;C++;Python;Rust,USD	United States dollar,United States of America,In-person,360000.0
Bash/Shell (all shells);C;C++;Go;Groovy;Java;Python;SQL,USD	United States dollar,United States of America,Remote,150000.0
